metric,tolerance,required_reliability,payload_model,maximum_speed_scale,reliability_at_limit,status
position,0.1,0.9,pooled,,0.6622174442331437,not_feasible_at_0.5
position,0.1,0.9,1.6 lb,,0.6827734722111611,not_feasible_at_0.5
position,0.1,0.9,4.5 lb,,0.6441845938186154,not_feasible_at_0.5
position,0.2,0.9,pooled,0.5044,0.9000159775685439,feasible
position,0.2,0.9,1.6 lb,0.5414,0.9000122350796499,feasible
position,0.2,0.9,4.5 lb,,0.8942719179417136,not_feasible_at_0.5
position,0.30000000000000004,0.9,pooled,0.9733,0.9000136960626457,feasible
position,0.30000000000000004,0.9,1.6 lb,0.9883,0.9000032039605403,feasible
position,0.30000000000000004,0.9,4.5 lb,0.9588000000000001,0.9000090612557541,feasible
position,0.4,0.9,pooled,1.0,0.9413358260180271,feasible
position,0.4,0.9,1.6 lb,1.0,0.9435913519540104,feasible
position,0.4,0.9,4.5 lb,1.0,0.9391983405852409,feasible
position,0.5,0.9,pooled,1.0,0.9644271434731289,feasible
position,0.5,0.9,1.6 lb,1.0,0.9663526240244915,feasible
position,0.5,0.9,4.5 lb,1.0,0.9625627623470029,feasible
position,0.6000000000000001,0.9,pooled,1.0,0.9772164816079696,feasible
position,0.6000000000000001,0.9,1.6 lb,1.0,0.9787758927237211,feasible
position,0.6000000000000001,0.9,4.5 lb,1.0,0.9756799489745014,feasible
position,0.7000000000000001,0.9,pooled,1.0,0.9847721719666291,feasible
position,0.7000000000000001,0.9,1.6 lb,1.0,0.9860143262128231,feasible
position,0.7000000000000001,0.9,4.5 lb,1.0,0.9835293805045057,feasible
position,0.8,0.9,pooled,1.0,0.9894672929494654,feasible
position,0.8,0.9,1.6 lb,1.0,0.9904539166672379,feasible
position,0.8,0.9,4.5 lb,1.0,0.9884664143254095,feasible
position,0.9,0.9,pooled,1.0,0.9925061769474872,feasible
position,0.9,0.9,1.6 lb,1.0,0.9932921943190145,feasible
position,0.9,0.9,4.5 lb,1.0,0.99169858535277,feasible
