metric,speed_scale,distribution,parameters,log_likelihood,aic,probability_plot_r2,probability_plot_slope,probability_plot_intercept,sample_count,aic_rank_within_dataset
position,0.5,normal,"0.096955446041, 0.0827769363202",59801.20030501664,-119598.40061003328,0.7816628087125684,10.68058895853145,-1.0355412664548944,55750,3.0
position,0.5,lognormal,"0.79831898913, 0.0715971806185",80447.70018551781,-160891.40037103562,0.9965336165809767,1.2504442759001162,3.2970459003654766,55750,1.0
position,0.5,weibull,"1.31804924897, 0.10606475206",77764.5156434603,-155525.0312869206,0.9567869782560929,1.5713916630504852,3.5660778182549104,55750,2.0
position,1.0,normal,"0.142012594409, 0.141230058232",23803.838499371035,-47603.67699874207,0.7844768570686178,6.271283158891031,-0.890601191667447,44210,3.0
position,1.0,lognormal,"0.935770572924, 0.0923852011578",45502.474377873696,-91000.94875574739,0.9870700276142471,1.0616908612083014,2.528723055955529,44210,1.0
position,1.0,weibull,"1.1075075679, 0.148163562179",42475.973882669336,-84947.94776533867,0.9119472443700958,1.3087712607992223,2.540007867659087,44210,2.0
orientation,0.5,normal,"0.0124641873002, 0.00923631439923",182061.31514373323,-364118.63028746645,0.8265655940307076,98.43165334577027,-1.2268705635729245,55750,3.0
orientation,0.5,lognormal,"0.72499824222, 0.00975429836466",196947.73223763146,-393891.4644752629,0.9923951393075795,1.374042564657413,6.361881974801576,55750,1.0
orientation,0.5,weibull,"1.48124664339, 0.0138765159738",195170.76334856026,-390337.5266971205,0.9650143246545012,1.737733617133972,7.46857880220753,55750,2.0
orientation,1.0,normal,"0.0153383643431, 0.0127074068313",130270.58777757139,-260537.17555514278,0.8222835377817809,71.35876813200422,-1.094526784686076,44210,3.0
orientation,1.0,lognormal,"0.787428379325, 0.0113571846116",145802.32776549258,-291600.65553098515,0.9956954270461748,1.2672014870417134,5.674407532549882,44210,1.0
orientation,1.0,weibull,"1.32966655348, 0.0168128187331",143295.26639109122,-286586.53278218245,0.9417445599249791,1.5805337467468603,6.500271104169358,44210,2.0
