metric,tolerance,tolerance_unit,required_reliability,maximum_speed_scale,reliability_at_limit,status
orientation,0.01,deg,0.9,,0.5136863211465097,not_feasible_at_0.5
orientation,0.02,deg,0.9,,0.839005949271906,not_feasible_at_0.5
orientation,0.03,deg,0.9,0.9152,0.9000030493797869,feasible
orientation,0.04,deg,0.9,1.0,0.9450799524232577,feasible
orientation,0.05,deg,0.9,1.0,0.9701020096208589,feasible
orientation,0.06,deg,0.9,1.0,0.9827353374798454,feasible
orientation,0.07,deg,0.9,1.0,0.9895448489969836,feasible
orientation,0.08,deg,0.9,1.0,0.9934157442226398,feasible
orientation,0.09,deg,0.9,1.0,0.9957151414344101,feasible
orientation,0.1,deg,0.9,1.0,0.9971325156620111,feasible
orientation,0.01,deg,0.95,,0.5136863211465097,not_feasible_at_0.5
orientation,0.02,deg,0.95,,0.839005949271906,not_feasible_at_0.5
orientation,0.03,deg,0.95,,0.9393865334747701,not_feasible_at_0.5
orientation,0.04,deg,0.95,0.9262,0.9500043366308581,feasible
orientation,0.05,deg,0.95,1.0,0.9701020096208589,feasible
orientation,0.06,deg,0.95,1.0,0.9827353374798454,feasible
orientation,0.07,deg,0.95,1.0,0.9895448489969836,feasible
orientation,0.08,deg,0.95,1.0,0.9934157442226398,feasible
orientation,0.09,deg,0.95,1.0,0.9957151414344101,feasible
orientation,0.1,deg,0.95,1.0,0.9971325156620111,feasible
orientation,0.01,deg,0.99,,0.5136863211465097,not_feasible_at_0.5
orientation,0.02,deg,0.99,,0.839005949271906,not_feasible_at_0.5
orientation,0.03,deg,0.99,,0.9393865334747701,not_feasible_at_0.5
orientation,0.04,deg,0.99,,0.974199528206562,not_feasible_at_0.5
orientation,0.05,deg,0.99,,0.9879092429831098,not_feasible_at_0.5
orientation,0.06,deg,0.99,0.7138,0.9900010339036796,feasible
orientation,0.07,deg,0.99,0.9770000000000001,0.9900002196541289,feasible
orientation,0.08,deg,0.99,1.0,0.9934157442226398,feasible
orientation,0.09,deg,0.99,1.0,0.9957151414344101,feasible
orientation,0.1,deg,0.99,1.0,0.9971325156620111,feasible
