position_tolerance_mm,required_reliability,position_maximum_speed_scale,position_reliability_at_limit,position_status,orientation_tolerance_deg,orientation_maximum_speed_scale,orientation_reliability_at_limit,orientation_status,recommended_speed_scale,limiting_metric
0.1,0.9,,0.6622174442331437,not_feasible_at_0.5,0.01,,0.5136863211465097,not_feasible_at_0.5,,not_feasible
0.1,0.9,,0.6622174442331437,not_feasible_at_0.5,0.02,,0.839005949271906,not_feasible_at_0.5,,not_feasible
0.1,0.9,,0.6622174442331437,not_feasible_at_0.5,0.03,0.9152,0.9000030493797869,feasible,,not_feasible
0.1,0.9,,0.6622174442331437,not_feasible_at_0.5,0.04,1.0,0.9450799524232577,feasible,,not_feasible
0.1,0.9,,0.6622174442331437,not_feasible_at_0.5,0.05,1.0,0.9701020096208589,feasible,,not_feasible
0.1,0.9,,0.6622174442331437,not_feasible_at_0.5,0.06,1.0,0.9827353374798454,feasible,,not_feasible
0.1,0.9,,0.6622174442331437,not_feasible_at_0.5,0.07,1.0,0.9895448489969836,feasible,,not_feasible
0.1,0.9,,0.6622174442331437,not_feasible_at_0.5,0.08,1.0,0.9934157442226398,feasible,,not_feasible
0.1,0.9,,0.6622174442331437,not_feasible_at_0.5,0.09,1.0,0.9957151414344101,feasible,,not_feasible
0.1,0.9,,0.6622174442331437,not_feasible_at_0.5,0.1,1.0,0.9971325156620111,feasible,,not_feasible
0.2,0.9,0.5044,0.9000159775685439,feasible,0.01,,0.5136863211465097,not_feasible_at_0.5,,not_feasible
0.2,0.9,0.5044,0.9000159775685439,feasible,0.02,,0.839005949271906,not_feasible_at_0.5,,not_feasible
0.2,0.9,0.5044,0.9000159775685439,feasible,0.03,0.9152,0.9000030493797869,feasible,0.5044,position
0.2,0.9,0.5044,0.9000159775685439,feasible,0.04,1.0,0.9450799524232577,feasible,0.5044,position
0.2,0.9,0.5044,0.9000159775685439,feasible,0.05,1.0,0.9701020096208589,feasible,0.5044,position
0.2,0.9,0.5044,0.9000159775685439,feasible,0.06,1.0,0.9827353374798454,feasible,0.5044,position
0.2,0.9,0.5044,0.9000159775685439,feasible,0.07,1.0,0.9895448489969836,feasible,0.5044,position
0.2,0.9,0.5044,0.9000159775685439,feasible,0.08,1.0,0.9934157442226398,feasible,0.5044,position
0.2,0.9,0.5044,0.9000159775685439,feasible,0.09,1.0,0.9957151414344101,feasible,0.5044,position
0.2,0.9,0.5044,0.9000159775685439,feasible,0.1,1.0,0.9971325156620111,feasible,0.5044,position
0.30000000000000004,0.9,0.9733,0.9000136960626457,feasible,0.01,,0.5136863211465097,not_feasible_at_0.5,,not_feasible
0.30000000000000004,0.9,0.9733,0.9000136960626457,feasible,0.02,,0.839005949271906,not_feasible_at_0.5,,not_feasible
0.30000000000000004,0.9,0.9733,0.9000136960626457,feasible,0.03,0.9152,0.9000030493797869,feasible,0.9152,orientation
0.30000000000000004,0.9,0.9733,0.9000136960626457,feasible,0.04,1.0,0.9450799524232577,feasible,0.9733,position
0.30000000000000004,0.9,0.9733,0.9000136960626457,feasible,0.05,1.0,0.9701020096208589,feasible,0.9733,position
0.30000000000000004,0.9,0.9733,0.9000136960626457,feasible,0.06,1.0,0.9827353374798454,feasible,0.9733,position
0.30000000000000004,0.9,0.9733,0.9000136960626457,feasible,0.07,1.0,0.9895448489969836,feasible,0.9733,position
0.30000000000000004,0.9,0.9733,0.9000136960626457,feasible,0.08,1.0,0.9934157442226398,feasible,0.9733,position
0.30000000000000004,0.9,0.9733,0.9000136960626457,feasible,0.09,1.0,0.9957151414344101,feasible,0.9733,position
0.30000000000000004,0.9,0.9733,0.9000136960626457,feasible,0.1,1.0,0.9971325156620111,feasible,0.9733,position
0.4,0.9,1.0,0.9413358260180271,feasible,0.01,,0.5136863211465097,not_feasible_at_0.5,,not_feasible
0.4,0.9,1.0,0.9413358260180271,feasible,0.02,,0.839005949271906,not_feasible_at_0.5,,not_feasible
0.4,0.9,1.0,0.9413358260180271,feasible,0.03,0.9152,0.9000030493797869,feasible,0.9152,orientation
